date,city,mean_t,rh,rainfall
2020-02-29,Ukunda,30.5,76.9,
2020-02-29,Kisumu,26.3,64.2,0.0
2020-03-01,Ukunda,29.9,77.1,
2020-03-01,Kisumu,25.6,69.7,2.5
2020-03-02,Ukunda,25.9,89.0,
2020-03-02,Kisumu,24.1,72.9,3.0
2020-03-03,Ukunda,30.3,78.8,
2020-03-03,Kisumu,20.8,81.6,17.0
2020-03-04,Ukunda,28.1,80.2,
2020-03-04,Kisumu,23.5,74.2,0.5
2020-03-05,Ukunda,28.8,79.2,
2020-03-05,Kisumu,24.9,63.8,0.0
2020-03-06,Ukunda,30.2,79.2,
2020-03-06,Kisumu,25.6,62.2,0.0
2020-03-07,Ukunda,30.1,75.5,
2020-03-07,Kisumu,26.2,60.1,11.2
2020-03-08,Ukunda,30.5,76.9,
2020-03-08,Kisumu,25.4,66.2,2.5
2020-03-09,Ukunda,30.5,79.2,
2020-03-09,Kisumu,23.6,77.3,13.2
2020-03-10,Ukunda,29.4,80.7,
2020-03-10,Kisumu,24.2,72.1,0.0
2020-03-11,Ukunda,29.6,84.2,
2020-03-11,Kisumu,25.8,69.4,9.9
2020-03-12,Ukunda,30.2,77.5,
2020-03-12,Kisumu,24.4,76.1,2.3
2020-03-13,Ukunda,30.0,78.5,
2020-03-13,Kisumu,23.7,78.5,107.7
2020-03-14,Ukunda,28.9,84.5,
2020-03-14,Kisumu,24.0,76.5,0.0
2020-03-15,Ukunda,30.3,81.6,
2020-03-15,Kisumu,25.9,70.4,0.0
2020-03-16,Ukunda,30.3,80.9,
2020-03-16,Kisumu,24.4,76.7,12.4
2020-03-17,Ukunda,27.2,81.8,
2020-03-17,Kisumu,24.4,74.7,0.0
2020-03-18,Ukunda,29.5,79.6,
2020-03-18,Kisumu,23.8,73.9,14.7
2020-03-19,Ukunda,29.6,79.4,
2020-03-19,Kisumu,24.0,75.4,3.0
2020-03-20,Ukunda,29.7,78.2,
2020-03-20,Kisumu,24.4,72.6,7.1
2020-03-21,Ukunda,29.1,79.1,
2020-03-21,Kisumu,24.9,70.2,0.0
2020-03-22,Ukunda,29.8,75.7,
2020-03-22,Kisumu,25.2,63.5,15.0
2020-03-23,Ukunda,29.4,76.1,
2020-03-23,Kisumu,23.8,73.6,5.8
2020-03-24,Ukunda,29.1,75.9,
2020-03-24,Kisumu,24.4,74.9,0.8
2020-03-25,Ukunda,29.1,75.8,
