City,Environment,Container,Percentage,Day,Cases,caseslow95,casesup95,Household,HH_low95,HH_up95,Non_Household,NH_low95,NH_up95,pweeks_cases,pwk_low95,pwk_up95,weeks_cases,wk_low95,wk_up95,pweeks_HHcases,pwk_HHlow95,pwk_HHup95,weeks_HHcases,wk_HHlow95,wk_HHup95,pweeks_NHcases,pwk_NHlow95,pwk_NHup95,weeks_NHcases,wk_NHlow95,wk_NHup95
Kisumu,Non-Household,big,25,0,567.5,287.8,1.178e3,227.5,108.75,511.2,294.0,134.5,671.0,0.7428571428571429,0.41904761904761906,0.9809523809523809,78.0,44.0,103.0,0.6857142857142857,0.3238095238095238,0.9809523809523809,72.0,34.0,103.0,0.6666666666666666,0.3142857142857143,0.9809523809523809,70.0,33.0,103.0
Ukunda,Non-Household,big,25,0,3.022e3,1.78e3,4.424e3,1.37e3,763.0,2.088e3,1.574e3,871.5,2.402e3,0.9809523809523809,0.9238095238095239,0.9809523809523809,103.0,97.0,103.0,0.9809523809523809,0.8571428571428571,0.9809523809523809,103.0,90.0,103.0,0.9619047619047619,0.8380952380952381,0.9714285714285714,101.0,88.0,102.0
Kisumu,Non-Household,big,50,0,440.0,253.5,957.0,179.0,93.75,414.0,217.0,119.75,529.0,0.6285714285714286,0.37142857142857144,0.9809523809523809,66.0,39.0,103.0,0.5047619047619047,0.29523809523809524,0.9809523809523809,53.0,31.0,103.0,0.4857142857142857,0.2761904761904762,0.9809523809523809,51.0,29.0,103.0
Ukunda,Non-Household,big,50,0,1.978e3,700.5,3.338e3,941.0,304.5,1.65e3,945.5,274.0,1.707e3,0.9809523809523809,0.8285714285714286,0.9809523809523809,103.0,87.0,103.0,0.9714285714285714,0.7714285714285715,0.9809523809523809,102.0,81.0,103.0,0.9523809523809523,0.7333333333333333,0.9714285714285714,100.0,77.0,102.0
Kisumu,Non-Household,big,75,0,401.0,230.0,814.5,167.0,88.75,366.0,199.0,105.75,439.5,0.5714285714285714,0.34285714285714286,0.9047619047619048,60.0,36.0,95.0,0.45714285714285713,0.2857142857142857,0.8095238095238095,48.0,30.0,85.0,0.41904761904761906,0.2761904761904762,0.8,44.0,29.0,84.0
Ukunda,Non-Household,big,75,0,788.5,184.0,1.877e3,393.5,97.25,990.5,312.0,46.0,891.0,0.8380952380952381,0.3904761904761905,0.9809523809523809,88.0,41.0,103.0,0.8095238095238095,0.3333333333333333,0.9809523809523809,85.0,35.0,103.0,0.7523809523809524,0.21904761904761905,0.9714285714285714,79.0,23.0,102.0
Kisumu,Non-Household,big,100,0,318.5,198.8,530.0,140.5,82.0,250.2,157.0,82.0,285.8,0.4095238095238095,0.3047619047619048,0.6571428571428571,43.0,32.0,69.0,0.34285714285714286,0.24761904761904763,0.6095238095238096,36.0,26.0,64.0,0.34285714285714286,0.23809523809523808,0.6,36.0,25.0,63.0
Ukunda,Non-Household,big,100,0,256.5,114.5,708.0,152.0,67.0,415.2,73.5,18.25,277.5,0.42857142857142855,0.26666666666666666,0.7714285714285715,45.0,28.0,81.0,0.38095238095238093,0.23809523809523808,0.7428571428571429,40.0,25.0,78.0,0.2571428571428571,0.12380952380952381,0.6952380952380952,27.0,13.0,73.0
Kisumu,Non-Household,small,25,0,363.0,216.0,689.5,156.5,84.0,314.2,181.5,93.0,378.5,0.5142857142857142,0.34285714285714286,0.8,54.0,36.0,84.0,0.41904761904761906,0.26666666666666666,0.7333333333333333,44.0,28.0,77.0,0.41904761904761906,0.24761904761904763,0.7142857142857143,44.0,26.0,75.0
Ukunda,Non-Household,small,25,0,3.188e3,1.931e3,4.596e3,1.414e3,817.0,2.148e3,1.689e3,959.0,2.546e3,0.9809523809523809,0.9238095238095239,0.9809523809523809,103.0,97.0,103.0,0.9809523809523809,0.8666666666666667,0.9809523809523809,103.0,91.0,103.0,0.9619047619047619,0.8285714285714286,0.9714285714285714,101.0,87.0,102.0
Kisumu,Non-Household,small,50,0,268.5,164.8,443.5,125.0,70.0,221.5,122.0,63.75,226.2,0.3904761904761905,0.24761904761904763,0.5904761904761905,41.0,26.0,62.0,0.3142857142857143,0.21904761904761905,0.5142857142857142,33.0,23.0,54.0,0.29523809523809524,0.18095238095238095,0.47619047619047616,31.0,19.0,50.0
Ukunda,Non-Household,small,50,0,2.644e3,1.425e3,3.982e3,1.22e3,619.0,1.914e3,1.344e3,658.0,2.144e3,0.9809523809523809,0.8857142857142857,0.9809523809523809,103.0,93.0,103.0,0.9714285714285714,0.8285714285714286,0.9809523809523809,102.0,87.0,103.0,0.9619047619047619,0.7904761904761904,0.9714285714285714,101.0,83.0,102.0
Kisumu,Non-Household,small,75,0,211.5,135.8,325.0,105.5,63.0,178.0,88.0,49.0,156.0,0.3047619047619048,0.20952380952380953,0.42857142857142855,32.0,22.0,45.0,0.26666666666666666,0.2,0.38095238095238093,28.0,21.0,40.0,0.22857142857142856,0.14285714285714285,0.3142857142857143,24.0,15.0,33.0
Ukunda,Non-Household,small,75,0,2.018e3,935.5,3.28e3,958.0,415.0,1.627e3,982.0,395.0,1.684e3,0.9809523809523809,0.8380952380952381,0.9809523809523809,103.0,88.0,103.0,0.9714285714285714,0.8095238095238095,0.9809523809523809,102.0,85.0,103.0,0.9333333333333333,0.7428571428571429,0.9714285714285714,98.0,78.0,102.0
Kisumu,Non-Household,small,100,0,186.0,127.0,272.2,99.5,58.0,154.0,76.0,45.0,132.0,0.26666666666666666,0.2,0.34285714285714286,28.0,21.0,36.0,0.23809523809523808,0.17142857142857143,0.3142857142857143,25.0,18.0,33.0,0.17142857142857143,0.11428571428571428,0.2761904761904762,18.0,12.0,29.0
Ukunda,Non-Household,small,100,0,1.486e3,603.5,2.554e3,731.0,268.2,1.315e3,676.0,224.8,1.277e3,0.9142857142857143,0.7619047619047619,0.9809523809523809,96.0,80.0,103.0,0.8761904761904762,0.7142857142857143,0.9809523809523809,92.0,75.0,103.0,0.8285714285714286,0.6666666666666666,0.9714285714285714,87.0,70.0,102.0
