County,Age,Male,Female,Total
Ukunda,78,26,22,48
Ukunda,79,16,45,61
Ukunda,80,42,67,109
Ukunda,81,21,25,46
Ukunda,82,19,20,39
Ukunda,83,9,19,28
Ukunda,84,11,23,34
Ukunda,85,13,22,35
Ukunda,86,13,14,27
Ukunda,87,7,16,23
Ukunda,88,6,11,17
Ukunda,89,1,14,15
Ukunda,90,6,26,32
Ukunda,91,0,3,3
Ukunda,92,3,2,5
Ukunda,93,0,1,1
Ukunda,94,2,6,8
Ukunda,95,1,3,4
Ukunda,96,2,2,4
Ukunda,97,2,1,3
Ukunda,98,0,2,2
Ukunda,99,0,3,3
Ukunda,100,6,14,20
